id,name,region
4811038,Seba Beach,Alberta
4811023,Golden Days,Alberta
4802002,Coutts,Alberta
4817841,Beaver Ranch 163,Alberta
4806804,Tsuu T'ina Nation 145 (Sarcee 145),Alberta
4810046,Dewberry,Alberta
4808039,Ponoka,Alberta
4812811,Kehewin 123,Alberta
4817024,Swan Hills,Alberta
4808032,Clive,Alberta
4819815,Horse Lakes 152B,Alberta
4808024,Eckville,Alberta
4807051,Chauvin,Alberta
4811804,Stony Plain 135,Alberta
4811044,Kapasiwin,Alberta
4817848,Bushe River 207,Alberta
4812810,Cold Lake 149,Alberta
4805011,Arrowwood,Alberta
4803004,Cardston,Alberta
4813045,Mewatha Beach,Alberta
4804012,Special Area No. 3,Alberta
4813057,West Baptiste,Alberta
4817838,Tall Cree 173,Alberta
4802014,Nobleford,Alberta
4801008,Forty Mile County No. 8,Alberta
4816849,Old Fort 217,Alberta
4807044,Sedgewick,Alberta
4811801,Ermineskin 138,Alberta
4816822,Gregoire Lake 176A,Alberta
4801006,Medicine Hat,Alberta
4802036,Duchess,Alberta
4808001,Red Deer County,Alberta
4811062,St. Albert,Alberta
4802013,Coalhurst,Alberta
4810012,Bittern Lake,Alberta
4817860,Loon Lake 235,Alberta
4807012,Coronation,Alberta
4811001,Wetaskiwin County No. 10,Alberta
4808026,Bentley,Alberta
4819008,Hythe,Alberta
4811009,Silver Beach,Alberta
4815037,Improvement District No. 12 Jasper Park,Alberta
4811059,Sturgeon County,Alberta
4819058,Spirit River,Alberta
4806026,Crossfield,Alberta
4805042,Carbon,Alberta
4817097,Rainbow Lake,Alberta
4807022,Gadsby,Alberta
4817830,Kapawe'no First Nation (Pakashan 150D),Alberta
4805001,Vulcan County,Alberta
4807048,Hardisty,Alberta
4805041,Kneehill County,Alberta
4816850,Allison Bay 219,Alberta
4805002,Carmangay,Alberta
4805038,Morrin,Alberta
4817828,Drift Pile River 150,Alberta
4805034,Delia,Alberta
4810042,Vermilion,Alberta
4803801,Piikani 147,Alberta
4805048,Three Hills,Alberta
4802011,Lethbridge County,Alberta
4806014,Rocky View County,Alberta
4802019,Coaldale,Alberta
4810051,Myrnam,Alberta
4810048,Two Hills County No. 21,Alberta
4812806,Saddle Lake 125,Alberta
4811034,Parkland County,Alberta
4808022,Lacombe County,Alberta
4816817,Janvier 194,Alberta
4812002,Cold Lake,Alberta
4806024,Beiseker,Alberta
4809810,Big Horn 144A,Alberta
4815035,Banff,Alberta
4802012,Lethbridge,Alberta
4819041,Smoky River No. 130,Alberta
4810008,New Norway,Alberta
4811042,Lakeview,Alberta
4810038,Paradise Valley,Alberta
4813028,Westlock County,Alberta
4814028,Improvement District No. 25 Willmore Wilderness,Alberta
4808044,Rimbey,Alberta
4815013,Kananaskis,Alberta
4818002,Fox Creek,Alberta
4810003,Rosalind,Alberta
4818005,Grande Cache,Alberta
4810004,Ferintosh,Alberta
4813048,Athabasca,Alberta
4813014,Onoway,Alberta
4805006,Vulcan,Alberta
4817843,Child Lake 164A,Alberta
4801009,Foremost,Alberta
4807008,Amisk,Alberta
4812011,Bonnyville Beach,Alberta
4817039,Nampa,Alberta
4806031,Cremona,Alberta
4817823,Wabasca 166D,Alberta
4817852,Kapawe'no First Nation (Halcro 150C),Alberta
4817029,Slave Lake,Alberta
4813032,Clyde,Alberta
4816859,Fort Mackay,Alberta
4815033,Jasper,Alberta
4803803,Blood 148A,Alberta
4811805,Alexander 134,Alberta
4805046,Linden,Alberta
4808029,Blackfalds,Alberta
4810022,Viking,Alberta
4813003,Nakamun Park,Alberta
4813030,Whitecourt,Alberta
4813019,Barrhead,Alberta
4812009,Bonnyville,Alberta
4805021,Standard,Alberta
4817840,Tall Cree 173A,Alberta
4805036,Munson,Alberta
4817821,Wabasca 166B,Alberta
4813061,Whispering Hills,Alberta
4812026,Waskatenau,Alberta
4813046,Boyle,Alberta
4817822,Wabasca 166C,Alberta
4817824,Utikoomak Lake 155,Alberta
4807004,Czar,Alberta
4809809,Sunchild 202,Alberta
4811031,Drayton Valley,Alberta
4817849,Upper Hay River 212,Alberta
4819014,Sexsmith,Alberta
4811020,Sundance Beach,Alberta
4811052,Strathcona County,Alberta
4819044,Donnelly,Alberta
4811045,Wabamun,Alberta
4804016,Cereal,Alberta
4817027,Big Lakes,Alberta
4817854,Carcajou 187,Alberta
4817835,Fox Lake 162,Alberta
4817831,Swan River 150E,Alberta
4811056,Fort Saskatchewan,Alberta
4811006,Crystal Springs,Alberta
4810039,Lloydminster (Part),Alberta
4817827,Utikoomak Lake 155A,Alberta
4805026,Drumheller,Alberta
4807032,Alliance,Alberta
4811032,Brazeau County,Alberta
4805018,Strathmore,Alberta
4810026,Minburn County No. 27,Alberta
4817062,Clear Hills,Alberta
4806001,Foothills No. 31,Alberta
4815030,Waiparous,Alberta
4804001,Acadia No. 34,Alberta
4817837,John d'Or Prairie 215,Alberta
4802038,Rosemary,Alberta
4813033,Larkspur,Alberta
4810028,Vegreville,Alberta
4802023,Barnwell,Alberta
4805044,Acme,Alberta
4807046,Lougheed,Alberta
4810059,Andrew,Alberta
4811002,Wetaskiwin,Alberta
4813005,Val Quentin,Alberta
4819059,Saddle Hills County,Alberta
4802004,Milk River,Alberta
4811803,Louis Bull 138B,Alberta
4815045,Ranchland No. 66,Alberta
4809806,O'Chiese 203,Alberta
4811046,Spring Lake,Alberta
4817842,Boyer 164,Alberta
4813044,Athabasca County,Alberta
4815027,Ghost Lake,Alberta
4810044,Marwayne,Alberta
4813047,Sunset Beach,Alberta
4813017,Sunrise Beach,Alberta
4803022,Claresholm,Alberta
4813007,Yellowstone,Alberta
4807027,White Sands,Alberta
4807021,Big Valley,Alberta
4808031,Lacombe,Alberta
4817833,Sawridge 150H,Alberta
4813018,Barrhead County No. 11,Alberta
4804020,Special Area No. 4,Alberta
4813029,Woodlands County,Alberta
4819009,Beaverlodge,Alberta
4811008,Ma-Me-O Beach,Alberta
4804022,Consort,Alberta
4810805,Makaoo (Part) 120,Alberta
4805031,Starland County,Alberta
4812014,St. Paul County No. 19,Alberta
4813011,Sunset Point,Alberta
4808012,Sylvan Lake,Alberta
4817031,Opportunity No. 17,Alberta
4817819,Wabasca 166A,Alberta
4812020,Horseshoe Bay,Alberta
4808009,Penhold,Alberta
4808812,Samson 137A,Alberta
4810062,Chipman,Alberta
4813002,Mayerthorpe,Alberta
4817095,Mackenzie County,Alberta
4802032,Tilley,Alberta
4806012,Okotoks,Alberta
4808013,Norglenwold,Alberta
4819046,Falher,Alberta
4807038,Heisler,Alberta
4817858,Kapawe'no First Nation (Grouard 230),Alberta
4812815,Cold Lake 149B,Alberta
4811026,Breton,Alberta
4811021,Thorsby,Alberta
4811012,Leduc County,Alberta
4807011,Paintearth County No. 18,Alberta
4807054,Wainwright,Alberta
4813009,Castle Island,Alberta
4805019,Hussar,Alberta
4810061,Mundare,Alberta
4814003,Yellowhead County,Alberta
4812813,Cold Lake 149A,Alberta
4817859,Fort Vermilion 173B,Alberta
4808004,Delburne,Alberta
4814024,Edson,Alberta
4805802,Siksika 146,Alberta
4819012,Grande Prairie,Alberta
4811013,Beaumont,Alberta
4807014,Castor,Alberta
4805009,Milo,Alberta
4804004,Special Area No. 2,Alberta
4809010,Caroline,Alberta
4808006,Bowden,Alberta
4808038,Ponoka County,Alberta
4816821,Gregoire Lake 176,Alberta
4816831,Chipewyan 201A,Alberta
4810002,Bashaw,Alberta
4806011,Black Diamond,Alberta
4806029,Carstairs,Alberta
4819056,Rycroft,Alberta
4805049,Trochu,Alberta
4813016,Sandy Beach,Alberta
4817825,Clear Hills 152C,Alberta
4808028,Gull Lake,Alberta
4807056,Irma,Alberta
4817818,Wabasca 166,Alberta
4809015,Rocky Mountain House,Alberta
4801014,Bow Island,Alberta
4811022,Itaska Beach,Alberta
4808008,Innisfail,Alberta
4811807,Wabamun 133B,Alberta
4807019,Stettler County No. 6,Alberta
4808011,Red Deer,Alberta
4819038,Peace River,Alberta
4811039,Betula Beach,Alberta
4802021,Taber,Alberta
4816852,Dog Head 218,Alberta
4805004,Champion,Alberta
4813031,Westlock,Alberta
4810058,Lamont County,Alberta
4803024,Stavely,Alberta
4807002,Provost,Alberta
4806006,High River,Alberta
4803016,Cowley,Alberta
4811016,Leduc,Alberta
4816855,Charles Lake 225,Alberta
4813008,Ross Haven,Alberta
4810031,Innisfree,Alberta
4817026,Northern Sunrise County,Alberta
4805008,Lomond,Alberta
4817064,Hines Creek,Alberta
4806034,Olds,Alberta
4810016,Beaver County,Alberta
4816857,Namur River 174A,Alberta
4812024,Vilna,Alberta
4813015,South View,Alberta
4807049,Wainwright No. 61,Alberta
4802009,Stirling,Alberta
4815007,Crowsnest Pass,Alberta
4810052,Two Hills,Alberta
4806803,Eden Valley 216,Alberta
4812840,Heart Lake 167,Alberta
4813013,Birch Cove,Alberta
4817093,High Level,Alberta
4807052,Edgerton,Alberta
4810066,Bruderheim,Alberta
4807036,Forestburg,Alberta
4806028,Mountain View County,Alberta
4810064,Lamont,Alberta
4819048,Girouxville,Alberta
4811049,Spruce Grove,Alberta
4803006,Glenwood,Alberta
4806019,Cochrane,Alberta
4815023,Canmore,Alberta
4813053,Bondiss,Alberta
4808034,Alix,Alberta
4808025,Half Moon Bay,Alberta
4803001,Cardston County,Alberta
4812029,Smoky Lake,Alberta
4810056,Willingdon,Alberta
4819068,Fairview,Alberta
4811069,Legal,Alberta
4802016,Barons,Alberta
4804011,Hanna,Alberta
4812808,White Fish Lake 128,Alberta
4807031,Flagstaff County,Alberta
4807042,Killam,Alberta
4811066,Bon Accord,Alberta
4808027,Sunbreaker Cove,Alberta
4810032,Minburn,Alberta
4816037,Wood Buffalo,Alberta
4802022,Taber,Alberta
4811061,Edmonton,Alberta
4806009,Turner Valley,Alberta
4816858,Namur Lake 174B,Alberta
4803018,Willow Creek No. 26,Alberta
4812828,Beaver Lake 131,Alberta
4816051,Improvement District No. 24 Wood Buffalo,Alberta
4819011,Wembley,Alberta
4814019,Hinton,Alberta
4817836,Kapawe'no First Nation (Freeman 150B),Alberta
4803011,Pincher Creek No. 9,Alberta
4816861,Thabacha Nare 196A,Alberta
4806032,Didsbury,Alberta
4811065,Redwater,Alberta
4810018,Tofield,Alberta
4811041,Point Alison,Alberta
4811064,Gibbons,Alberta
4807034,Galahad,Alberta
4810011,Camrose,Alberta
4819071,Peace No. 135,Alberta
4817021,High Prairie,Alberta
4808002,Elnora,Alberta
4819054,Spirit River No. 133,Alberta
4802034,Brooks,Alberta
4813012,Alberta Beach,Alberta
4801018,Redcliff,Alberta
4807016,Halkirk,Alberta
4807041,Strome,Alberta
4802018,Picture Butte,Alberta
4803008,Hill Spring,Alberta
4803003,Improvement District No.  4 Waterton,Alberta
4807001,Provost No. 52,Alberta
4811068,Morinville,Alberta
4817829,Sucker Creek 150A,Alberta
4805012,Wheatland County,Alberta
4812004,Bonnyville No. 87,Alberta
4817857,Woodland Cree 228,Alberta
4811007,Norris Beach,Alberta
4811004,Grandview,Alberta
4819006,Grande Prairie County No. 1,Alberta
4807024,Botha,Alberta
4807029,Donalda,Alberta
4812013,Pelican Narrows,Alberta
4816860,Thebathi 196,Alberta
4808005,Jarvis Bay,Alberta
4803026,Nanton,Alberta
4810041,Kitscoty,Alberta
4813051,Island Lake South,Alberta
4819072,Berwyn,Alberta
4810068,Improvement District No. 13 Elk Island,Alberta
4817076,Northern Lights County,Alberta
4813049,Island Lake,Alberta
4812802,Unipouheos 121,Alberta
4811024,Warburg,Alberta
4812012,Glendon,Alberta
4819066,Fairview No. 136,Alberta
4813001,Lac Ste. Anne County,Alberta
4813010,Silver Sands,Alberta
4817817,Jean Baptiste Gambler 183,Alberta
4819074,Grimshaw,Alberta
4817853,Little Buffalo,Alberta
4808042,Parkland Beach,Alberta
4816856,Fort McKay 174,Alberta
4803019,Fort Macleod,Alberta
4812016,Elk Point,Alberta
4819042,McLennan,Alberta
4813811,Alexis 133,Alberta
4818015,Greenview No. 16,Alberta
4810014,Hay Lakes,Alberta
4807006,Hughenden,Alberta
4813036,Thorhild County No. 7,Alberta
4819826,Duncan's 151A,Alberta
4802001,Warner County No. 5,Alberta
4807028,Rochon Sands,Alberta
4808023,Birchcliff,Alberta
4806022,Irricana,Alberta
4803002,Magrath,Alberta
4806016,Calgary,Alberta
4818816,Sturgeon Lake 154,Alberta
4803014,Pincher Creek,Alberta
4813006,West Cove,Alberta
4806017,Chestermere,Alberta
4817855,Desmarais,Alberta
4810021,Holden,Alberta
4811048,Stony Plain,Alberta
4819049,Birch Hills County,Alberta
4802029,Vauxhall,Alberta
4802006,Warner,Alberta
4811003,Argentia Beach,Alberta
4803802,Blood 148,Alberta
4810036,Vermilion River County,Alberta
4811802,Pigeon Lake 138A,Alberta
4804021,Veteran,Alberta
4811019,Calmar,Alberta
4815032,Improvement District No.  9 Banff,Alberta
4817856,Woodland Cree 226,Alberta
4813055,South Baptiste,Alberta
4811005,Poplar Bay,Alberta
4807039,Daysland,Alberta
4806021,Airdrie,Alberta
4807026,Stettler,Alberta
4805022,Rockyford,Alberta
4812022,Smoky Lake County,Alberta
4808813,Montana 139,Alberta
4817078,Manning,Alberta
4810009,Bawlf,Alberta
4815802,"Stoney 142, 143, 144",Alberta
4801003,Cypress County,Alberta
4809002,Clearwater County,Alberta
4804014,Oyen,Alberta
4810001,Camrose County,Alberta
4818818,Sturgeon Lake 154A,Alberta
4812018,St. Paul,Alberta
4815015,Bighorn No. 8,Alberta
4803021,Granum,Alberta
4810006,Edberg,Alberta
4808811,Samson 137,Alberta
4812037,Lac la Biche County,Alberta
4817033,Lesser Slave River No.124,Alberta
4804006,Empress,Alberta
4802008,Raymond,Alberta
4810019,Ryley,Alberta
4818018,Valleyview,Alberta
4806008,Longview,Alberta
4817845,Hay Lake 209,Alberta
4802031,Newell County No. 4,Alberta
4806036,Sundre,Alberta
4811806,Wabamun 133A,Alberta
4802039,Bassano,Alberta
4809005,Burnstick Lake,Alberta
4810034,Mannville,Alberta
4811018,Devon,Alberta
4812804,Puskiakiwenin 122,Alberta
4811011,Millet,Alberta
4804019,Youngstown,Alberta
4817832,Sawridge 150G,Alberta
